,space,approx
1.1,2.0,4.556377509792691
1.2000000000000002,2.0,4.556377509792691
1.3,2.0,4.556377509792691
1.4,3.0,6.18232197165772
1.5,3.0,3.5814941662618125
1.6,4.0,2.732327225933991
1.7000000000000002,4.0,2.5242321679384974
1.8,4.0,2.3143190062938066
1.9,4.0,2.2339008555948188
2.0,4.0,2.118380412976706
3.0,7.0,1.1744703757913133
4.0,8.0,1.0724430599490995
5.0,11.0,1.030491211160177
6.0,13.0,1.0132681373026922
7.0,15.0,1.0064514002698512
8.0,16.0,1.0038833299414651
9.0,19.0,1.000421290075037
10.0,21.0,0.999819025009769
11.0,23.0,0.999308612357487
12.0,24.0,0.999371092831036
13.0,26.0,0.9989761526579573
14.0,28.0,0.9990901333617352
15.0,30.0,0.9988549478160136
16.0,31.0,0.998943226847884
17.0,34.0,0.9989190470545508
18.0,35.0,0.9989394625757811
19.0,36.0,0.999001671139646
20.0,38.0,0.9990905137808188
21.0,42.0,0.9990522484259684
22.0,44.0,0.9990715173967052
23.0,45.0,0.999126718619534
24.0,46.0,0.9991522837472234
25.0,47.0,0.9991801813803056
26.0,49.0,0.9992148226687771
27.0,50.0,0.9992643468555764
28.0,55.0,0.99927431234265
29.0,57.0,0.999410833113492
30.0,59.0,0.9994094717550602
31.0,60.0,0.9994352336486928
32.0,61.0,0.9994633092756436
33.0,63.0,0.9994894714516273
34.0,65.0,0.999508966866886
35.0,66.0,0.9995359657745078
36.0,67.0,0.9995569360455931
37.0,69.0,0.9995812058996584
38.0,71.0,0.9995988775063108
39.0,71.0,0.9996192880880788
40.0,73.0,0.9996262386813208
41.0,75.0,0.999626376382216
42.0,78.0,0.9996235266860276
43.0,81.0,0.9996145054613964
44.0,82.0,0.9996131361491398
45.0,84.0,0.999621669382836
46.0,87.0,0.9996210893401842
47.0,89.0,0.9996279745166516
48.0,91.0,0.9996306397917556
49.0,93.0,0.9996375370525205
50.0,95.0,0.999645759848963
51.0,97.0,0.9996501626002632
52.0,98.0,0.9996594085640956
53.0,100.0,0.9996683019949554
54.0,102.0,0.9996770701184424
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
