,1.0,1.001,1.01,1.4
2,2,2,2,2
3,3,3,3,3
4,3,3,3,3
5,3,3,3,3
6,3,3,3,3
7,3,3,3,3
8,3,3,3,3
9,3,3,3,3
10,3,3,3,3
11,3,3,3,3
13,3,3,3,3
15,5,5,3,3
17,5,5,5,3
19,5,5,5,3
21,5,5,5,3
24,5,5,5,4
27,5,5,5,4
30,5,5,5,4
33,5,5,5,4
37,7,7,5,4
41,8,8,6,5
46,8,8,6,5
51,8,8,8,5
57,8,8,8,5
63,9,8,8,5
70,9,9,8,5
77,8,8,8,5
85,8,8,8,5
94,10,10,9,5
104,9,9,9,5
115,12,9,9,5
127,13,13,9,5
140,13,13,9,5
154,13,13,10,5
170,13,13,10,5
188,13,13,10,5
207,14,14,10,5
228,14,14,10,5
251,16,14,10,5
277,16,14,13,5
305,16,15,11,5
336,17,17,13,5
370,17,15,13,6
408,17,15,11,6
449,17,17,11,6
494,20,18,13,6
544,21,18,14,6
599,21,18,14,6
659,21,21,14,6
725,21,21,14,7
798,22,22,15,7
878,25,19,15,7
966,25,23,15,7
1063,26,23,15,7
1170,26,23,15,7
1287,27,23,16,7
1416,30,24,16,7
1558,27,24,16,7
1714,27,24,16,7
1886,28,24,16,7
2075,28,28,17,7
2283,32,29,17,7
2512,32,29,20,7
2764,33,29,20,7
3041,33,30,20,7
3346,37,30,21,7
3681,34,30,21,7
4050,34,31,21,7
4455,35,31,21,7
4901,39,32,21,7
5392,39,36,22,7
5932,40,36,22,8
6526,43,33,22,8
7179,48,33,22,8
7897,48,37,23,8
8687,45,38,23,8
9556,49,38,23,8
10000,49,38,23,8
